run_name,label,status,timesteps_total,training_iteration,train_episode_reward_mean,train_episode_len_mean,vs_ceia_win_rate,vs_ceia_reward_mean,vs_ceia_wins,vs_ceia_losses,vs_ceia_draws,eval_episodes,train_base_port,eval_base_port,trial_dir,progress_csv,checkpoint_path,eval_json_path,error_file,ceia_win_rate,eval_agent_module,eval_baseline_module,eval_episode_len_mean,eval_episode_reward_max,eval_episode_reward_mean,eval_episode_reward_min,reward_shaping.ball_proximity.distance_scale,reward_shaping.ball_proximity.enabled,reward_shaping.ball_proximity.weight,reward_shaping.ball_velocity_to_goal.enabled,reward_shaping.ball_velocity_to_goal.goal_x,reward_shaping.ball_velocity_to_goal.goal_y,reward_shaping.ball_velocity_to_goal.speed_scale,reward_shaping.ball_velocity_to_goal.weight,reward_shaping.defensive_positioning.enabled,reward_shaping.defensive_positioning.goal_x,reward_shaping.defensive_positioning.goal_y,reward_shaping.defensive_positioning.lateral_scale,reward_shaping.defensive_positioning.weight,reward_shaping.goal_distance.distance_scale,reward_shaping.goal_distance.enabled,reward_shaping.goal_distance.goal_x,reward_shaping.goal_distance.goal_y,reward_shaping.goal_distance.weight,reward_shaping.goal_event.enabled,reward_shaping.goal_event.scale,reward_shaping.goal_event.threshold,reward_shaping.goal_velocity.enabled,reward_shaping.goal_velocity.goal_x,reward_shaping.goal_velocity.goal_y,reward_shaping.goal_velocity.speed_scale,reward_shaping.goal_velocity.weight,reward_shaping.possession_balance.control_radius,reward_shaping.possession_balance.enabled,reward_shaping.possession_balance.pass_bonus,reward_shaping.possession_balance.weight,reward_shaping.teammate_spacing.enabled,reward_shaping.teammate_spacing.target_distance,reward_shaping.teammate_spacing.tolerance,reward_shaping.teammate_spacing.weight
042_grid_0042,grid_0042,ERROR,,,,,,,,,,,51799,53815,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/042_grid_0042,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/042_grid_0042/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/042_grid_0042/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,5,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,5.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
043_grid_0043,grid_0043,ERROR,,,,,,,,,,,51831,53847,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/043_grid_0043,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/043_grid_0043/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/043_grid_0043/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,5,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,5.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
044_grid_0044,grid_0044,ERROR,,,,,,,,,,,51863,53879,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/044_grid_0044,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/044_grid_0044/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/044_grid_0044/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,5,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,5.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
045_grid_0045,grid_0045,ERROR,,,,,,,,,,,51895,53911,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/045_grid_0045,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/045_grid_0045/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/045_grid_0045/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.0,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
046_grid_0046,grid_0046,ERROR,,,,,,,,,,,51927,53943,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/046_grid_0046,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/046_grid_0046/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/046_grid_0046/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.0,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
047_grid_0047,grid_0047,ERROR,,,,,,,,,,,51959,53975,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/047_grid_0047,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/047_grid_0047/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/047_grid_0047/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.0,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
048_grid_0048,grid_0048,ERROR,,,,,,,,,,,51991,54007,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/048_grid_0048,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/048_grid_0048/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/048_grid_0048/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.01,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
049_grid_0049,grid_0049,ERROR,,,,,,,,,,,52023,54039,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/049_grid_0049,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/049_grid_0049/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/049_grid_0049/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.01,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
050_grid_0050,grid_0050,ERROR,,,,,,,,,,,52055,54071,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/050_grid_0050,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/050_grid_0050/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/050_grid_0050/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.01,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
051_grid_0051,grid_0051,ERROR,,,,,,,,,,,52087,54103,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/051_grid_0051,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/051_grid_0051/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/051_grid_0051/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.1,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
052_grid_0052,grid_0052,ERROR,,,,,,,,,,,52119,54135,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/052_grid_0052,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/052_grid_0052/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/052_grid_0052/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.1,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
053_grid_0053,grid_0053,ERROR,,,,,,,,,,,52151,54167,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/053_grid_0053,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/053_grid_0053/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/053_grid_0053/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,0.1,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
054_grid_0054,grid_0054,ERROR,,,,,,,,,,,52183,54199,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/054_grid_0054,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/054_grid_0054/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/054_grid_0054/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,1,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
055_grid_0055,grid_0055,ERROR,,,,,,,,,,,52215,54231,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/055_grid_0055,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/055_grid_0055/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/055_grid_0055/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,1,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
056_grid_0056,grid_0056,ERROR,,,,,,,,,,,52247,54263,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/056_grid_0056,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/056_grid_0056/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/056_grid_0056/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,1,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
057_grid_0057,grid_0057,ERROR,,,,,,,,,,,52279,54295,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/057_grid_0057,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/057_grid_0057/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/057_grid_0057/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,5,True,16.0,0.0,8.0,0.0,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
058_grid_0058,grid_0058,ERROR,,,,,,,,,,,52311,54327,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/058_grid_0058,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/058_grid_0058/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/058_grid_0058/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,5,True,16.0,0.0,8.0,0.01,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
059_grid_0059,grid_0059,ERROR,,,,,,,,,,,52343,54391,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/059_grid_0059,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/059_grid_0059/progress.csv,,,/home/ngovin5/Documents/soccer-twos-starter/ray_results_reward_sweep_full_20260424_011300/PPO_reward_weight_sweep/059_grid_0059/error.txt,,,,,,,,20.0,False,0.005,True,16.0,0.0,10.0,5,True,16.0,0.0,8.0,0.05,32.0,True,16.0,0.0,0.01,True,10.0,0.5,True,16.0,0.0,10.0,0.01,1.75,True,0.02,0.01,True,6.0,4.0,0.01
